RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-30 00:00:00,2018-10-31 00:00:00,2018-11-30 00:00:00,2018-12-31 00:00:00,2019-01-31 00:00:00,2019-02-28 00:00:00,2019-03-31 00:00:00,2019-04-30 00:00:00,2019-05-31 00:00:00,2019-06-30 00:00:00,2019-07-31 00:00:00,2019-08-31 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,2019-11-30 00:00:00,2019-12-31 00:00:00,2020-01-31 00:00:00,2020-02-29 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00
394913,1,"New York, NY",msa,NY,466176.9001105063,467719.8784021416,469506.4302384057,471376.9466198299,473947.0241524836,476138.9002222467,478533.8002155602,480535.2387753087,482364.6348380521,483380.4602404216,484256.066177354,484867.0550872421,485900.7360984727,487458.8860490665,489448.1863775722,491615.05280748446,493053.39420344686,494320.9588590522,495012.6696359165,495499.5413637981,495232.5104875574,495267.11378110346,496235.32007796766,497888.1572990045,500320.3269296472,502556.1193037932,505127.7122077006,507465.8582774119,509318.9737908033,509659.3554148182,508745.7192323711,508062.6562512412,509731.8730145768,513430.5562170925,518785.2586532878,525072.0223000905,531055.3700211615,537310.3085866686,543116.8000149975,548936.4950456364,554547.8783403566,559580.3224934271,563776.0440382767,566301.1617477314,567842.7179672854,570017.6325507344,573507.2613129639,577441.9714060385,581624.8885036068,586229.7497926989,592507.4559954243,599112.561068591,605777.4473397187,611875.2009692665,615755.6265764796,616477.1677139065,613972.2058416759,611409.3084831956,609386.3866124499,607957.9144667647,607138.3755656661,605781.0393311821,606096.5351578875,608105.1208971079,612136.7859908974,616308.0170052472,619911.4943788582,623211.9849051283,625939.720932248
753899,2,"Los Angeles, CA",msa,CA,601730.9742664108,609723.2998410879,617314.0496245562,623093.8872693337,627727.748502,631205.3386244966,634844.5222986881,640319.9106931025,647627.211621256,655388.501811029,660883.7528863653,663812.6502583487,661383.1900083756,655048.6504710434,647333.3403453032,642415.4598389926,639910.8319905596,638642.5558526352,639472.0313497552,643258.8822478665,649483.4505443453,656146.9666213858,662218.7754227192,667728.3798468293,670965.5141508708,672504.8370143835,673275.3119945076,674245.2559409025,673300.5786253201,670459.1832365263,670141.2561722217,675210.1103862191,686076.4079503373,699084.5804814032,713490.094904426,727233.4365256525,736489.2263889547,742263.6190534459,745472.8185475891,752320.810874451,762029.8530233636,774027.6744145583,785815.1968588602,794833.9248642701,801823.533272525,808575.959619909,816970.5032904143,827056.6398945724,839182.1720208273,853526.7147907629,869649.8357474273,884274.5624275492,895771.11352812,902252.4722867836,904091.3534344988,900998.0772575672,895301.8980445998,890005.8199677444,886239.5812882188,883096.4821925169,874754.1695048149,863791.2803501603,853971.7250259515,851581.7059983923,855385.2458789243,863224.2740904462,874493.2710729325,888127.7852640549,901894.4880019402
394463,3,"Chicago, IL",msa,IL,225562.67022229792,226910.08203242984,228466.57817201232,229683.0927995796,230635.1152176198,230740.64805892165,230781.4630968301,230698.63756245017,230797.00558899573,230938.1956746977,231244.97201841275,231830.9218752444,232714.1750909497,233914.06788224223,235046.84415914016,235953.66637838256,236365.6630606796,236572.715314504,236392.2660341393,236176.9518306614,235725.0262836481,235614.739318684,235811.95065852688,236440.0977137636,237563.33470285984,238901.3578767277,240305.1881571536,241182.21015224364,241275.4832597923,240815.526172566,240340.69568497007,240666.72893414204,242235.67667812467,244675.0582985784,247697.0141487714,250702.2064015196,253688.34391348044,256932.86741539257,260304.25287465463,263540.5811220249,266508.9339235015,269368.9933143741,271756.88791628164,273155.1915187461,273417.6236773452,273562.1737989321,274230.8136928215,275700.4969000784,278311.9859054331,282116.0475538399,286859.48963894224,291448.5918235531,294648.69093685894,296810.7383787588,297335.4856145348,296720.81120350247,295047.6323412053,293702.052108404,292932.6159683508,292513.67048485327,291906.8685824944,291753.7845478472,292397.06539527484,294085.14030543005,296271.60080387647,298827.03238920047,301362.8932269408,303811.3583383902,305636.27475526644
394514,4,"Dallas, TX",msa,TX,234334.2649625362,236142.7792865522,237969.0398927788,239597.35742017705,241127.80900978856,242170.48303464,243242.63529443424,244048.05333073685,244781.87544193,245211.73734068312,245689.6381768684,246382.7594082253,247287.3514497577,248267.554794843,249110.605152539,249574.0843896001,249764.5136651099,249823.7791221216,249918.27862354924,250155.5718651824,250530.524193056,251209.70559791548,252169.0453559696,253356.7289790793,254862.49726492463,256390.42043982423,257843.28396296303,258608.08496947912,258598.89738382224,258386.4011931403,258741.08995991663,260144.50240831068,262581.23100706324,265621.4213713173,269177.890684721,272771.43342922715,276571.7194086336,280592.2534508831,285073.41164773726,290026.78579404624,295733.8862909458,301708.2422276588,307121.3262888239,311316.55064158194,314598.8225984269,318090.61855693953,322399.1586244996,327344.70846484817,334217.2922191303,342466.76535371644,351828.13513559505,361076.2980063616,369447.9654441188,376624.3674857276,380566.1934115224,381220.7078433039,379542.4085194648,377506.9879427104,375618.5012825673,373653.2617739714,371121.0041925178,368863.6122701685,367332.30171036086,366782.6952963925,367067.6137649033,367882.97364114254,368856.6691499001,369775.4507463372,370189.0877187746
394692,5,"Houston, TX",msa,TX,204944.39841883964,205487.27867518828,206218.30601316664,207005.48420145872,207985.48070020296,208806.8939478948,209735.2339138193,210520.74648704528,211308.024209441,211961.1170260392,212683.1886249557,213454.97855494413,214260.054856404,215094.1221456147,215887.72115595467,216479.14486943025,216923.93929824865,217231.05871293487,217543.6789770913,217904.1665085311,218365.44174756747,218989.8306050835,219847.53703393915,220777.08307405515,221735.14525049416,222572.30566648432,223374.0060952128,223870.99112028847,223869.47876020183,223828.03731728872,224222.71397747568,225373.5720192356,227122.37027449533,229265.7771917364,231874.84695111483,234498.6962048761,237228.0093506834,239980.6788129952,243035.94302390027,246341.46319267468,250173.6311756493,254371.44897281937,258247.761618192,261249.1555811489,263501.04469014937,265990.9345023691,269128.1122681296,272663.21623039834,277193.2331694293,282321.3930838499,288300.3439361831,294042.40918110433,299298.9288767269,303782.412391116,306801.9426920008,308105.7603674691,308019.8902359171,307498.773205592,306873.29306796944,305696.3404851164,303930.5894049964,302254.08204240905,301105.3116023408,300656.88319216634,300811.76692312886,301616.71039152547,302539.65831807046,303414.920969989,303771.6259315706
395209,6,"Washington, DC",msa,VA,400888.2492291569,402459.86634256406,404043.6738357398,405229.1302233813,406434.496056165,406991.3043001404,408017.9716788989,408959.311157477,410149.8735626777,411068.0761416873,411999.5874928614,412910.9533759648,413834.9055569208,415190.4631313845,417071.0656911903,419122.32006660633,420456.03551924526,421194.58059579367,421578.629987128,422174.5777619213,422783.5222523967,423767.603865965,425215.8003174514,427231.16063992,429738.9496781621,432461.7043041033,435234.86543180334,437538.384663715,438678.3534969391,438916.8174935319,439403.0563002548,441541.4684518907,445710.0783437681,451060.7782581074,456955.5268484792,462551.0999900554,467610.8275031076,472813.4328537408,478577.7831117527,485049.3610819595,491613.397287212,497343.3044577704,500845.4101501188,502068.18900699983,501499.63175944966,501371.5677765561,502165.9412387583,504307.9014426312,508227.2984153007,514163.8137947366,522072.6264928413,529881.1242191251,536346.7168496248,539979.8548174358,539937.464381795,536763.1799235563,532217.8667130074,529110.1238980714,527425.8792275289,526767.530517817,525999.7457841453,525736.4668906401,525868.1938581119,527386.6110284176,529930.1940416064,533550.0331592778,536894.9189981752,539609.6388858454,541335.8821207791
394974,7,"Philadelphia, PA",msa,PA,230605.60829640567,231589.9660204939,232771.8862260376,233723.80075668925,234392.70297758083,234514.46865253945,234759.770476198,235162.3116637324,235822.1471027128,236457.2886344567,237198.12947598475,237953.3285555177,238894.87353157296,240008.9304793751,241213.46749948725,242219.86059667784,242874.08663880543,243521.5138068632,244138.97047332057,244762.2350574732,245244.36056796784,245893.6674230584,246991.32357464777,248230.28195302,249832.8949362108,251618.0109642948,253772.6564220296,255811.3109999247,257034.62735977976,257498.59798397505,257831.9561336985,258894.20731310328,261193.09081586832,264420.2126070124,268522.71757569927,272788.12511446344,276764.8691421081,280597.03133958444,284375.0044627419,288126.1794857646,291849.2013150739,295496.66789003887,298198.02085702633,299436.9013301934,299042.3595921263,298755.37971732026,299188.5003597911,300777.6933056442,303915.3900817239,308238.0991802852,313538.46749078995,318759.53826609644,323443.4229175372,327168.0589345182,328824.0492331412,328708.8166360624,327637.6318107583,327248.6638730168,327415.9375916188,327720.2966211518,327731.1186744443,327870.35850200494,328839.01363041066,330766.12557467207,333606.8271711504,336577.01990800345,339469.6992381078,342125.4311731703,344397.9867216167
394856,8,"Miami, FL",msa,FL,272923.14930299827,274315.5932935231,275494.76362801593,276641.3761399264,278061.5542364296,279336.4817023791,281001.0449880134,282513.64992891054,283958.81122271647,285197.358272745,286665.2128100768,288334.7865179575,289713.24996561225,290860.9361395023,291516.713179446,291879.64197241905,291736.5265331552,291664.673504275,291814.5776424796,292335.4660869749,293030.47874786775,294096.54386427224,295727.0762896416,297747.2288817319,300170.4835799725,302362.28316593746,304252.3374101698,305206.5615520745,305124.05703948456,304669.982646734,304734.34221782687,306099.1885883703,308646.36396938754,311818.4385529163,315709.53700667404,319700.6542666427,323762.58031432726,327630.4016111072,331618.50212237105,335873.86126562103,340965.7461145812,346973.4487828357,353122.8074059123,358491.19628554926,362874.3100574278,367086.88248817023,372033.1766902387,377699.4814799931,385295.617489323,394212.88372026593,404785.34191143565,415715.95700279344,426096.0814260414,435429.65955157205,442286.9196818154,446496.6208269896,448102.0159997252,448987.78715190425,449879.2332972696,451043.1660744253,451592.9054291181,451844.2669249426,452434.4621711006,453998.27757698274,456558.22522116447,460130.077853475,463825.260584766,467522.388895243,470464.020371015
394347,9,"Atlanta, GA",msa,GA,213893.63207403748,215824.1868099227,217663.5450470364,219210.1774350632,220676.9373493124,221777.1189695888,223217.4684948265,224635.3636309293,226266.38326383068,227684.6724258639,229191.91894105417,230781.45585713847,232388.3367899293,233870.0762655477,235120.09446900315,236108.11616420388,236881.31030893023,237462.3710746381,238041.74493001468,238707.86883888484,239401.4999589596,240299.8605297644,241513.6543478471,243096.82094089047,244948.08608422583,246763.8177635696,248395.45226630697,249530.51692067203,249915.31288459324,250111.76880670103,250747.878781044,252471.29574069983,255272.201815416,258847.7286978117,262964.413341854,267154.15362146834,271428.6395491227,275950.2251982152,280765.61491768545,285763.89844945003,291171.1678670701,296977.5136303124,302384.0107893602,306845.8959445911,310641.70770104666,315006.05039317784,320311.27212676685,326290.54224331747,333591.2129215128,341487.75989680376,349911.8100433108,357727.52990230004,364599.6873893574,370185.7816865854,373286.2847338647,374058.9771655045,373010.55520373926,371687.7868221991,370296.6183586998,368739.2992303097,367037.3267935889,365763.74663459865,365437.1190862051,365840.4782612333,367104.5097427547,368826.9406218214,370785.3932271364,372654.2937779224,374255.95643682935
394404,10,"Boston, MA",msa,MA,455033.8943384734,457667.2354323567,460747.81908767787,463771.1951935962,466944.6687106059,469561.6452582185,472205.1192320522,474291.4935593775,476075.1208166896,476740.93169330974,477028.2716605903,476678.9020150579,476515.9909474708,476771.6742801271,477720.65891971946,479351.0162725697,480579.6198911255,481639.8096974096,482088.3100533692,482232.8391172172,482097.9939758945,482741.0220453292,484291.9427955704,486055.55308776,488445.21402702463,491232.32997329626,494784.5199989707,497781.8595987658,499608.3074799508,500450.46026193583,501312.5486003041,503942.95350325527,509007.7386425732,515762.346063917,523524.1027376337,531216.6451393142,538112.0254308982,544962.1643523098,551936.4420652929,559592.4222709615,567547.7855351298,574861.9479152377,579614.7137592998,580812.9608699812,579685.1439145197,578964.5390869138,579792.0350538722,581951.2682633301,587351.9633648462,595962.5535720071,607742.6086331152,619025.9620075793,628748.3625013065,635653.1869179533,638219.6345900213,636037.4494750384,630598.1512525716,626106.916234794,623611.0033857777,622883.0634310738,621639.6332976961,620490.1284853929,620699.1068719955,624205.633196637,630076.6212776899,636902.7719807635,643503.5008167174,649909.0867052432,655525.6075382963
